Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
PTCT,2017-02-21,2017-05-17,13.5,12.92,-4.3%,45.5%,53994841.43,5047245.33,62665818.52
MRK,2017-02-23,2017-05-19,62.83,60.86,-3.1%,100.8%,53994841.43,11241761.39,64080862.8
BMY,2017-02-27,2017-05-24,56.56,53.82,-4.8%,101.3%,54721593.95,11569600.46,64043511.8
SNY,2017-02-27,2017-05-24,42.92,49.15,14.5%,50.3%,54721593.95,5743435.33,67066833.34
REGN,2017-02-27,2017-05-24,373.05,458.24,22.8%,78.0%,54721593.95,8913983.69,74598527.95
MRK,2017-02-28,2017-05-25,62.85,62.06,-1.3%,84.0%,55043281.74,9627631.03,64551859.92
NBIX,2017-02-28,2017-05-25,44.16,48.65,10.2%,61.2%,55043281.74,7016248.55,68714802.99
NVS,2017-03-03,2017-05-26,68.03,72.25,6.2%,109.8%,57424509.2,12396896.81,72957541.74
MRK,2017-03-07,2017-06-01,62.94,62.27,-1.1%,73.9%,58676076.99,8678174.21,67389804.78
GILD,2017-03-07,2017-06-01,69.02,64.62,-6.4%,56.9%,58676076.99,6691425.58,62104805.67
NVO,2017-03-08,2017-06-02,16.49,22.0,33.4%,83.1%,58676076.99,9800845.08,83404290.07
TGTX,2017-03-13,2017-06-05,12.2,13.0,6.6%,98.4%,59647829.28,11470224.68,77753382.84
MRK,2017-03-13,2017-06-06,61.21,61.71,0.8%,56.1%,59647829.28,6626678.67,66943791.22
AZN,2017-03-13,2017-06-06,60.14,69.88,16.2%,64.9%,59647829.28,7671646.4,74735209.49
MRK,2017-03-13,2017-06-06,61.21,61.71,0.8%,119.6%,59647829.28,14130869.74,74447982.3
HALO,2017-03-13,2017-06-07,13.51,12.71,-5.9%,92.0%,59647829.28,11017576.17,68163497.79
RHHBY,2017-03-13,2017-06-07,32.4,32.09,-1.0%,75.0%,59647829.28,8988421.92,68012916.52
ALKS,2017-03-14,2017-06-08,55.66,60.31,8.4%,81.4%,62145654.86,9796179.18,76027492.79
LXRX,2017-03-17,2017-06-09,14.92,16.4,9.9%,49.7%,62344128.73,5893604.87,74836084.15
ALDX,2017-03-22,2017-06-16,5.0,4.3,-14.0%,58.0%,64295553.64,7208796.02,66096769.41
RDHL,2017-03-22,2017-06-16,10300.0,8600.0,-16.5%,67.0%,64295553.64,8336704.93,63474751.02
JNJ,2017-03-24,2017-06-16,125.48,134.35,7.1%,87.1%,64295553.64,10618797.32,78897818.06
GMAB,2017-03-24,2017-06-16,20.38,21.56,5.8%,58.4%,64295553.64,7123842.93,75122714.85
NVS,2017-03-28,2017-06-22,67.05,77.37,15.4%,57.6%,64295553.64,7293132.72,79240181.72
NVS,2017-03-30,2017-06-23,66.99,77.37,15.5%,45.7%,64295553.64,5742502.99,77730462.59
HALO,2017-03-30,2017-06-23,13.03,14.89,14.3%,90.5%,64295553.64,11375553.0,83750541.23
XOMA,2017-03-30,2017-06-23,6.9,6.82,-1.2%,58.3%,64295553.64,7331000.1,72889029.11
NVS,2017-03-30,2017-06-23,66.99,77.37,15.5%,112.4%,64295553.64,14134371.89,86122331.49
MRK,2017-04-04,2017-06-29,60.75,61.39,1.1%,108.8%,64295553.64,14008741.73,79019056.47
XENE,2017-04-04,2017-06-29,4.15,3.15,-24.1%,45.7%,64295553.64,5881718.86,56920581.87
AMGN,2017-04-06,2017-06-30,162.25,172.23,6.2%,59.0%,64295553.64,7535920.8,75672733.26
ALKS,2017-04-06,2017-06-30,57.54,57.97,0.7%,93.5%,64295553.64,11936678.36,76675363.7
BMY,2017-04-13,2017-07-07,52.83,55.91,5.8%,57.1%,64295553.64,7357711.47,74894966.99
UTHR,2017-04-17,2017-07-12,121.23,129.94,7.2%,50.6%,64295553.64,6616163.29,75266322.45
AMGN,2017-04-18,2017-07-13,161.25,175.04,8.6%,114.8%,64295553.64,15040770.02,84401824.3
AMGN,2017-04-19,2017-07-14,161.26,177.13,9.8%,85.7%,64295553.64,11241679.51,81288974.5
LGND,2017-04-19,2017-07-14,65.53,74.02,12.9%,77.8%,64295553.64,10209165.27,81191943.48
JNJ,2017-04-20,2017-07-14,121.87,132.6,8.8%,102.8%,64295553.64,13350064.97,82340797.31
PBYI,2017-04-24,2017-07-19,37.3,95.65,156.4%,104.6%,64295553.64,13910989.66,136520286.56
GILD,2017-04-25,2017-07-20,67.12,73.42,9.4%,55.2%,64295553.64,7367438.91,77445210.66
IRWD,2017-04-27,2017-07-21,13.72,14.42,5.1%,47.8%,64592399.61,6328377.77,72836426.34
GSK,2017-04-28,2017-07-21,40.9,42.66,4.3%,74.5%,64592399.61,9768896.44,76481035.09
PCRX,2017-05-02,2017-07-27,48.15,39.55,-17.9%,73.9%,67501540.37,10080605.72,65256710.38
AZN,2017-05-04,2017-07-28,61.26,60.54,-1.2%,77.4%,67501540.37,10473853.46,76347518.26
BMY,2017-05-09,2017-08-03,55.32,55.5,0.3%,98.3%,69113752.92,13700237.46,83575999.59
AGIO,2017-05-09,2017-08-03,50.31,63.04,25.3%,93.9%,69113752.92,13079235.86,97179237.89
BMY,2017-05-09,2017-08-03,55.32,55.5,0.3%,118.7%,69113752.92,16543662.33,86419424.46
TBPH,2017-05-10,2017-08-04,40.68,29.86,-26.6%,47.9%,73167796.21,6700025.54,61649116.17
JNJ,2017-05-10,2017-08-04,122.81,133.18,8.4%,72.2%,73167796.21,10105957.62,87810632.79
JAZZ,2017-05-11,2017-08-04,155.18,155.6,0.3%,67.1%,73167796.21,9306296.81,83015077.56
ENTA,2017-05-11,2017-08-04,33.33,38.39,15.2%,108.9%,73167796.21,15098402.77,98282534.04
ABBV,2017-05-11,2017-08-04,65.3,70.99,8.7%,59.9%,73167796.21,8301199.12,85996345.31
LLY,2017-05-12,2017-08-04,80.19,82.31,2.6%,55.2%,73167796.21,7581863.15,82276774.11
ESPR,2017-05-16,2017-08-10,37.31,48.14,29.0%,75.9%,84447502.61,11046087.26,114449682.35
REGN,2017-05-22,2017-08-16,460.99,468.54,1.6%,73.8%,86256870.73,11121670.99,97920081.11
BMY,2017-05-23,2017-08-17,54.21,56.77,4.7%,62.3%,88957692.49,9452434.72,102010308.46
AZN,2017-05-25,2017-08-18,68.68,58.24,-15.2%,60.0%,90427038.0,9076181.58,88990910.93
PFE,2017-05-25,2017-08-18,30.51,31.0,1.6%,113.9%,90427038.0,17228202.1,107923695.26
